lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
view,view,NOUN|PROPN,2,1,12,12,,,unclassified
visible,visible,ADJ,1,1,9,9,,,unclassified
visit,visit|visited|visiting|visits,VERB,16,15,2,2|3|4|7|8|11|12|15|16|18|19,12,19,core
visitor,visitor,NOUN,1,1,8,8,,,unclassified
voice,voice,NOUN,2,2,13,13|18,,,unclassified
vote,vote,NOUN,1,1,13,13,,,unclassified
w,w,PROPN,1,1,1,1,,,unclassified
wait,wait|waited|waiting|waits,VERB,14,13,1,1|2|8|11|12|14|18|20,,8|18,target_extra
waiter,waiter,NOUN,4,2,4,4|10,,4,target_extra
waiting,waiting,NOUN,1,1,11,11,,,unclassified
wake,wakes,VERB,6,5,6,6|9|11|17,6,6,core
walk,walk|walked|walking|walks,NOUN|VERB,28,21,1,1|2|6|7|8|9|10|11|12|13|14|15|17|18,17,11|17|18,core
wall,wall,NOUN,7,5,9,9|13|17|19,,,unclassified
wallet,wallet,NOUN,5,3,10,10|18,10,10,core
want,want|wanted|wants,VERB,52,34,2,2|3|4|6|7|8|9|10|11|12|13|14|15|17|18|19,,,unclassified
wardrobe,wardrobe,NOUN,4,3,3,3|20,3,3,core
warm,warm|warmer,ADJ,10,8,3,3|7|9|11|20,9,7,core
wash,wash|washes,VERB,4,3,3,3|6,6,,core
watch,watch|watched|watches|watching,VERB,12,11,4,4|8|10|13|14|16|17|18|20,,,unclassified
water,water,NOUN,29,18,2,2|4|9|11|12|17|20,4,,core
waterproof,waterproof,ADJ,1,1,7,7,,,unclassified
wave,wave|waves|waving,NOUN|VERB,4,2,2,2|15,,,unclassified
way,way,NOUN,4,4,8,8|9,,,unclassified
we,us|we,PRON,34,26,1,1|4|5|9|10|12|13|14|15|16|17|18|19|20,,,unclassified
wear,wear|wears,VERB,7,6,2,2|7|9,7,2,core
weather,weather,NOUN,7,7,7,7|9|12|16|20,,,unclassified
website,website,NOUN,1,1,15,15,,,unclassified
wednesday,wednesday,PROPN,2,2,15,15|17,,,unclassified
week,week|weeks,NOUN|PROPN,16,9,6,6|10|13|16|17|19,,10,target_extra
weekday,weekday|weekdays,NOUN,3,3,6,6|20,6,6,core
weekend,weekend,NOUN,6,4,6,6|15|20,6,6,core
weekly,weekly,ADJ,1,1,19,19,,,unclassified
weigh,weighs,VERB,2,2,10,10|12,,10,target_extra
weight,weight,NOUN,2,2,12,12|19,12,12,core
welcome,welcome|welcomes,ADJ|INTJ|NOUN|VERB,10,6,1,1|12|18|19|20,,1,target_extra
well,better|well,ADJ|ADV,11,10,5,5|7|10|11|13|15|18|20,,11|15,target_extra
westbridge,westbridge,NOUN|PROPN,2,1,1,1,,,unclassified
wet,wet,ADJ,5,3,9,9|20,9,9,core
what,what,DET|PRON,18,17,1,1|2|4|5|7|8|10|11|13|14|16|17|19,,,unclassified
when,when,SCONJ,23,19,1,1|2|4|8|9|10|11|12|14|15|16|17|18|20,,,unclassified
where,where,SCONJ,10,10,1,1|3|5|8|12|15|17|19,,,unclassified
which,which,DET,6,6,3,3|6|8|19,,,unclassified
while,while,SCONJ,11,11,1,1|4|5|6|9|14|15|16|18|20,,,unclassified
white,white,ADJ,4,4,3,3|9|16|17,,,unclassified
who,who,PRON,8,7,2,2|4|5|14|16,,,unclassified
whole,whole,ADJ,7,6,8,8|9|10|12|15,,,unclassified
whom,whom,PRON,1,1,15,15,,,unclassified
whose,whose,DET,3,2,2,2|16,,2,target_extra
why,why,SCONJ,2,2,13,13|19,,,unclassified
wife,wife,NOUN,4,4,2,2|16,2,2,core
wild,wild,ADJ|PROPN,4,3,17,17|20,17,17,core
will,will,AUX,22,18,4,4|8|9|11|12|13|14|15|16|19|20,,,unclassified
win,win|wins,VERB,3,3,13,13|15,13,13,core
wind,wind,NOUN,6,6,7,7|9|18|20,9,,core
window,window|windows,NOUN,15,12,3,3|4|5|6|7|9|12|17|20,,3,target_extra
wing,wing|wings,NOUN,5,3,17,17|20,17,17,core
winter,winter,NOUN,8,6,7,7|9|20,9,9,core
wish,wish,NOUN|VERB,2,1,16,16,,16,target_extra
with,with,ADP,65,43,2,2|4|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20,,,unclassified
without,without,ADP,2,2,6,6|14,,,unclassified
woman,woman|women,NOUN,8,7,2,2|3|7|10|13|17|18,,,unclassified
wood,wood,NOUN,1,1,17,17,,,unclassified
wool,wool,NOUN|PROPN,4,3,7,7|9,7,7,core
word,words,NOUN,1,1,3,3,,,unclassified
work,work|works,NOUN|VERB,31,21,2,2|5|6|7|11|14|15|16|19|20,5,,core
worker,worker|workers,NOUN,11,10,5,5|8|12|17|18|20,,,unclassified
working,working,NOUN,1,1,6,6,,,unclassified
worried,worried,ADJ,3,3,15,15|18,,,unclassified
worry,worry,VERB,2,2,11,11|20,15,15,core
would,would,AUX,7,6,4,4|18|19|20,,,unclassified
wrap,wrapped|wraps,VERB,4,3,7,7|16,,7|16,target_extra
write,write|writes|written|wrote,VERB,35,28,1,1|2|5|6|8|10|11|12|13|14|16|18|19|20,,,unclassified
wrong,wrong,ADJ,12,10,1,1|7|8|12|14|16|18|20,18,1|18,core
year,year|years,NOUN|PROPN,16,11,1,1|2|16|19|20,19,2|16|19,core
yellow,yellow,ADJ,12,6,3,3|8|9|13|15|18,,,unclassified
yes,yes,INTJ,22,21,1,1|2|3|4|5|7|8|11|13|16|17|20,,,unclassified
yet,yet,ADV,1,1,19,19,,,unclassified
you,you,PRON,66,38,1,1|2|3|4|5|7|8|11|13|15|16|17|19|20,,,unclassified
young,young|younger,ADJ,8,6,1,1|2|9|13|16,2,,core
your,your|yours,NOUN|PRON,22,17,1,1|2|3|7|10|11|14|16|18|19|20,,2,target_extra
yuki,yuki,PROPN,7,1,1,1,,,unclassified
zero,zero,NUM,4,2,7,7|9,,,unclassified
zipped,zipped,ADJ,1,1,10,10,,,unclassified
